771	Bojler elektri?ni	NULL
772	Grijalica kvarcna	SM
773	Merdevine	ML
774	Transportna kolica	ML
775	Vilju?kar paletar	ML
776	Fax canon L-250	PT
777	Caddy 678-E-882	NULL
779	PP aparat u autu 678-E-882	NULL
780	PP aparat u autu 678-E-883	VP
781	Ormar-plakar	SSA
782	Reno kangoo 506-J-584	NULL
783	PP aparat u autu 506-J-584	MAG-5
785	Police za artikle	PT
786	Police za artikle	PT
787	Police za artikle	PT
788	Police za artikle	PT
789	Police za artikle	PT
790	Metalna polica 11	MAG-4
791	Metalna polica 12	MAG-4
792	Metalna polica 13	MAG-4
793	Metalna polica 18	MAG-4
794	Metalna polica 16	MBL
795	Metalna polica 17	MBL
796	Metalna polica 14	MBL
797	Metalna polica 15	MBL
798	Monitor Samsung SM795 S	SIT
799	Ra?unar-ku?i?te Celeron inpel	NABAVKA
800	Fiksni telefon panasonic KX-T-7730-sistemski	PRODAJA SA
801	Radna stolica	NULL
803	Torba za laptop platnena Speed link	ML
804	Monitor Samsung 793DF	ML
805	Monitor	KL
806	Monitor Samsung SM793df	ML
807	Monitor Samsung 793	SIT
808	Ra?unar-ku?i?te Asus	SIT
809	Ra?unar-ku?i?te	KL
810	Ra?unar-ku?i?te	NULL
811	Ra?unar-ku?i?te Asus	PRODAJA SA
812	Stolica	KL
813	Radna stolica	ML
814	Radna stolica	ML
815	Fotelja	ML
816	Fotelja	SM
818	Skener Lide-25	PRODAJA SA
819	Radna stolica	PRODAJA SA
820	Radna stolica	PRODAJA SA
821	Radna stolica	PRODAJA SA
822	Radna stolica	PRODAJA SA
823	Radna stolica	PT
824	Printer Xerox HD 104	ML
825	Fiksni telefon panasonic KX-TCD 200 be?i?ni	PRODAJA SA
826	Monitor samsung LCD Samsung 710n	PRODAJA SA
828	Pokretna polica	KL
829	Fax aparat Brother T-94	SSA
830	Polica drvena	SSA
831	Polica drvena	SSA
832	Radni sto	SSA
833	Radni sto	SSA
834	Radni sto	SSA
835	Stolica	NULL
836	Pokretni sto	SSA
837	Pokretni sto	SSA
838	Pokretni sto	SSA
840	Radni sto	SSA
841	Radni sto	SSA
842	Polica	SSA
843	Polica	SSA
844	Stolica	NULL
845	Radna stolica	SSA
846	Radna stolica	NULL
849	Torba za laptop	NULL
850	Centrala Panasonic 308	SSA
851	Torbe za laptop	SSA
852	Usisiva? FT-1600	SPL
